doc_id,url,section,last_modified
111,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/confirm-your-registration-date-and-time-ticket.html,academics,    2026-06-01
112,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/online-certificates-first-year-program-requirements.html,academics,    2026-05-28
113,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/science-virtual-first-year-program-requirements.html,academics,    2026-05-28
114,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/option-minors-milton-first-year-program-requirements.html,academics,    2026-05-12
115,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/milton-science-first-year-program-requirements.html,academics,    2026-06-09
116,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/core-sciences-first-year-registration.html,academics,    2026-06-29
117,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/option-minors-brantford-first-year-program-requirements.html,academics,    2026-06-29
118,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/fhss-online-first-year-program-requirements.html,academics,    2026-05-11
119,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/milton-lazaridis-school-first-year-program-requirements.html,academics,    2026-06-02
120,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/social-work-first-year-program-requirements.html,academics,    2026-05-19
121,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/liberal-arts-first-year-program-requirements.html,academics,    2026-06-29
122,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/fhss-first-year-program-requirements.html,academics,    2026-06-16
123,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/luther-first-year-program-requirements.html,academics,    2025-05-30
124,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/music-first-year-program-requirements.html,academics,    2026-05-11
125,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/science-first-year-program-requirements.html,academics,    2026-06-25
126,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/lazaridis-school-first-year-program-requirements.html,academics,    2026-06-12
127,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/assets/resources/program-requirements/arts-first-year-program-requirements.html,academics,    2026-06-30
128,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/step-4-register-for-courses/index.html,academics,    2026-06-26
129,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/step-3-build-your-timetable/index.html,academics,    2026-06-26
130,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/step-2-choose-electives/index.html,academics,    2026-06-26
131,https://students.wlu.ca/academics/records-and-registration/course-registration-guide/step-1-program-requirements/index.html,academics,    2026-05-29
132,https://students.wlu.ca/academics/records-and-registration/changing-programs.html,academics,    2026-05-20
133,https://students.wlu.ca/academics/records-and-registration/service-laurier.html,academics,    2026-07-17
134,https://students.wlu.ca/academics/records-and-registration/index.html,academics,    2026-06-30
135,https://students.wlu.ca/academics/records-and-registration/assets/resources/spring-course-registration.html,academics,    2026-02-18
136,https://students.wlu.ca/academics/records-and-registration/assets/resources/loris.html,academics,    2026-07-29
137,https://students.wlu.ca/academics/records-and-registration/assets/resources/the-answers-you-need-over-the-holidays.html,academics,    2025-12-22
138,https://students.wlu.ca/academics/records-and-registration/assets/resources/values-and-commitment.html,academics,    2022-05-03
139,https://students.wlu.ca/academics/records-and-registration/assets/resources/credit-option-information.html,academics,    2023-02-13
140,https://students.wlu.ca/academics/records-and-registration/assets/resources/service-laurier-live-chat.html,academics,    2024-07-18
141,https://students.wlu.ca/academics/records-and-registration/assets/resources/get-to-know-service-laurier.html,academics,    2022-09-12
142,https://students.wlu.ca/academics/records-and-registration/assets/resources/courses-offered-for-summer-2019.html,academics,    2019-06-12
143,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/withdrawing-and-readmission.html,academics,    2026-07-27
144,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/alternative-registration-procedures/visiting-students.html,academics,    2026-03-20
145,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/alternative-registration-procedures/taking-courses-at-another-university.html,academics,    2026-07-14
146,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/alternative-registration-procedures/cross-registration.html,academics,    2025-02-27
147,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/alternative-registration-procedures/auditing.html,academics,    2025-11-07
148,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/alternative-registration-procedures/index.html,academics,    2024-12-18
149,https://students.wlu.ca/academics/records-and-registration/academic-standing-and-registration/index.html,academics,    2026-03-24
150,https://students.wlu.ca/academics/convocation/guests.html,academics,    2026-07-08
151,https://students.wlu.ca/academics/convocation/prepare-for-convocation.html,academics,    2026-07-29
152,https://students.wlu.ca/academics/convocation/ceremonies/index.html,academics,    2026-07-28
153,https://students.wlu.ca/academics/convocation/apply-to-graduate.html,academics,    2026-07-08
154,https://students.wlu.ca/academics/convocation/index.html,academics,    2026-06-30
155,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-21-2-pm-brantford.html,academics,    2025-10-14
156,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-17-4-30-pm-waterloo.html,academics,    2025-10-14
157,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-17-1-30-pm-waterloo.html,academics,    2026-04-08
158,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-17-9-30-am-waterloo.html,academics,    2025-10-14
159,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-16-4-30-pm-waterloo.html,academics,    2025-10-14
160,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-16-1-30-pm-waterloo.html,academics,    2025-10-14
161,https://students.wlu.ca/academics/convocation/assets/resources/2025/oct-16-9-30-am-waterloo.html,academics,    2025-10-17
162,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-11-4-pm-waterloo.html,academics,    2025-06-16
163,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-13-1-pm-waterloo.html,academics,    2025-06-17
164,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-12-4-pm-waterloo.html,academics,    2025-06-06
165,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-12-1-pm-waterloo.html,academics,    2025-06-04
166,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-10-4-pm-waterloo.html,academics,    2025-06-06
167,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-10-1-pm-waterloo.html,academics,    2025-06-03
168,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-10-9-30-am-waterloo.html,academics,    2025-12-08
169,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-3-2-pm-brantford.html,academics,    2025-05-30
170,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-3-10-am-brantford.html,academics,    2025-05-28
171,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-11-1-pm-waterloo.html,academics,    2025-06-04
172,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-13-9-30-am-waterloo.html,academics,    2025-06-04
173,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-9-9-30-am-waterloo.html,academics,    2025-06-03
174,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-11-9-30-am-waterloo.html,academics,    2025-06-16
175,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-9-1-pm-waterloo.html,academics,    2025-06-03
176,https://students.wlu.ca/academics/convocation/assets/resources/2025/june-12-9-30-am-waterloo.html,academics,    2025-06-16
177,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-18-4-pm-waterloo.html,academics,    2024-12-04
178,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-18-1-pm-waterloo.html,academics,    2024-10-11
179,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-18-9-30-am-waterloo.html,academics,    2024-10-11
180,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-17-4-pm-waterloo.html,academics,    2024-10-03
181,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-17-1-pm-waterloo.html,academics,    2024-10-08
182,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-17-9-30-am-waterloo.html,academics,    2024-10-09
183,https://students.wlu.ca/academics/convocation/assets/resources/2024/oct-29-2-pm-brantford.html,academics,    2026-02-23
184,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-14-1-pm-waterloo.html,academics,    2024-06-07
185,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-13-4-pm-waterloo.html,academics,    2024-06-14
186,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-13-1-pm-waterloo.html,academics,    2024-06-07
187,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-12-4-pm-waterloo.html,academics,    2024-06-10
188,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-11-4-pm-waterloo.html,academics,    2024-06-10
189,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-11-1-pm-waterloo.html,academics,    2024-06-10
190,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-11-9-30-am-waterloo.html,academics,    2024-06-10
191,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-4-2-pm-brantford.html,academics,    2024-06-03
192,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-4-10-am-brantford.html,academics,    2024-05-27
193,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-12-1-pm-waterloo.html,academics,    2024-06-07
194,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-14-9-30-am-waterloo.html,academics,    2024-06-10
195,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-10-9-30-am-waterloo.html,academics,    2024-06-19
196,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-12-9-30-am-waterloo.html,academics,    2024-06-10
197,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-10-1-pm-waterloo.html,academics,    2024-06-10
198,https://students.wlu.ca/academics/convocation/assets/resources/2024/june-13-9-30-am-waterloo.html,academics,    2025-06-04
199,https://students.wlu.ca/academics/convocation/assets/resources/tickets.html,academics,    2026-07-08
200,https://students.wlu.ca/academics/convocation/assets/resources/2023/nov-1-2-30-pm-brantford.html,academics,    2023-10-19
201,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-12-9-30-am-waterloo.html,academics,    2023-10-05
202,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-13-4-pm-waterloo.html,academics,    2023-10-04
203,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-13-1-pm-waterloo.html,academics,    2024-07-10
204,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-12-4-pm-waterloo.html,academics,    2023-10-04
205,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-12-1-pm-waterloo.html,academics,    2023-10-03
206,https://students.wlu.ca/academics/convocation/assets/resources/2023/oct-13-9-30-am-waterloo.html,academics,    2023-12-20
207,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-19-1-30-pm-waterloo.html,academics,    2026-06-09
208,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-19-9-30-am-waterloo.html,academics,    2026-06-10
209,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-18-4-30-pm-waterloo.html,academics,    2026-06-10
210,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-18-1-30-pm-waterloo.html,academics,    2026-06-19
211,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-18-9-30-am-waterloo.html,academics,    2026-06-19
212,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-17-4-30-pm-waterloo.html,academics,    2026-06-10
213,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-17-1-30-pm-waterloo.html,academics,    2026-06-09
214,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-17-9-30-am-waterloo.html,academics,    2026-06-10
215,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-16-4-30-pm-waterloo.html,academics,    2026-06-15
216,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-16-1-30-pm-waterloo.html,academics,    2026-06-10
217,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-16-9-30-am-waterloo.html,academics,    2026-06-12
218,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-15-9-30-am-waterloo.html,academics,    2026-06-11
219,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-15-1-30-pm-waterloo.html,academics,    2026-06-10
220,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-9-2-pm-brantford.html,academics,    2026-06-08
221,https://students.wlu.ca/academics/convocation/assets/resources/2026/june-9-10-am-brantford.html,academics,    2026-06-10
222,https://students.wlu.ca/academics/convocation/assets/resources/convocation-program/index.html,academics,    2026-06-11
223,https://students.wlu.ca/academics/exams/staff-listing.html,academics,    2025-09-11
224,https://students.wlu.ca/academics/exams/proctor-confirmation.html,academics,    2026-05-04
225,https://students.wlu.ca/academics/exams/deferred-exams.html,academics,    2026-07-20
226,https://students.wlu.ca/academics/exams/assets/resources/summer-exam-schedule-online.html,academics,    2026-04-07
227,https://students.wlu.ca/academics/exams/assets/resources/summer-exam-schedule-waterloo.html,academics,    2026-04-07
228,https://students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-brantford.html,academics,    2026-06-19
229,https://students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-milton.html,academics,    2026-06-19
230,https://students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-online.html,academics,    2026-06-22
231,https://students.wlu.ca/academics/exams/assets/resources/spring-exam-schedule-waterloo.html,academics,    2026-06-19
232,https://students.wlu.ca/academics/exams/assets/resources/intersession-exam-schedule-online.html,academics,    2026-06-02
233,https://students.wlu.ca/academics/exams/assets/resources/intersession-exam-schedule-waterloo.html,academics,    2026-06-02
234,https://students.wlu.ca/academics/exams/assets/resources/summer-exam-schedule-milton.html,academics,    2026-04-16
235,https://students.wlu.ca/academics/exams/assets/resources/final-exam-schedule-milton.html,academics,    2026-03-23
236,https://students.wlu.ca/academics/exams/assets/resources/fall-exam-schedule-milton.html,academics,    2026-04-16
237,https://students.wlu.ca/academics/exams/assets/resources/best-practices-for-virtual-proctors.html,academics,    2021-09-17
238,https://students.wlu.ca/academics/exams/assets/resources/fall-exam-schedule-brantford.html,academics,    2026-04-16
239,https://students.wlu.ca/academics/exams/assets/resources/fall-exam-schedule-online.html,academics,    2026-04-16
240,https://students.wlu.ca/academics/exams/assets/resources/fall-exam-schedule-waterloo.html,academics,    2026-04-16
241,https://students.wlu.ca/academics/exams/assets/resources/final-exam-schedule-online.html,academics,    2026-03-24
242,https://students.wlu.ca/academics/exams/assets/resources/final-exam-schedule-brantford.html,academics,    2026-03-24
243,https://students.wlu.ca/academics/exams/assets/resources/final-exam-schedule-waterloo.html,academics,    2026-03-23
244,https://students.wlu.ca/academics/exams/exam-regulations.html,academics,    2026-06-25
245,https://students.wlu.ca/academics/exams/index.html,academics,    2026-06-30
246,https://students.wlu.ca/academics/exams/exam-schedules/deferred-exam-schedule.html,academics,    2026-06-25
247,https://students.wlu.ca/academics/exams/exam-schedules/index.html,academics,    2026-06-22
248,https://students.wlu.ca/academics/support-and-advising/index.html,academics,    2026-06-30
249,https://students.wlu.ca/academics/support-and-advising/student-success/staff-listing.html,academics,    2026-07-08
250,https://students.wlu.ca/academics/support-and-advising/student-success/resources.html,academics,    2026-07-08
251,https://students.wlu.ca/academics/support-and-advising/student-success/programs-and-workshops.html,academics,    2026-07-15
